Fandom,Character,Number,,,,,,,,
Star Wars Sequel Trilogy,Total Published,62784,,,,,,,,
Star Wars Sequel Trilogy,Rey (Star Wars),32231,,,,,,,,
Star Wars Sequel Trilogy,Ben Solo | Kylo Ren,28804,,,,,,,,
Star Wars Sequel Trilogy,Poe Dameron,23024,,,,,,,,
Star Wars Sequel Trilogy,Armitage Hux,22750,,,,,,,,
Star Wars Sequel Trilogy,Kylo Ren,20727,,,,,,,,
Star Wars Sequel Trilogy,Finn (Star Wars),19192,,,,,,,,
Star Wars Sequel Trilogy,Leia Organa,14103,,,,,,,,
Star Wars Sequel Trilogy,Ben Solo,9143,,,,,,,,
Star Wars Sequel Trilogy,Luke Skywalker,7991,,,,,,,,
Star Wars Sequel Trilogy,Rose Tico,7873,,,,,,,,
Black Panther,Total Published,4112,,,,,,,,
Black Panther,T'Challa,2429,,,,,,,,
Black Panther,Shuri,1779,,,,,,,,
Black Panther,Erik Killmonger,1215,,,,,,,,
Black Panther,"James ""Bucky"" Barnes",1068,,,,,,,,
Black Panther,Tony Stark,949,,,,,,,,
Black Panther,Steve Rogers,885,,,,,,,,
Black Panther,Okoye,829,,,,,,,,
Black Panther,Peter Parker,643,,,,,,,,
Black Panther,Natasha Romanov,590,,,,,,,,
Black Panther,Nakia,584,,,,,,,,
